x,y,z
7673975.0,1495452.0,1.0
7673975.0,1819275.0,9.0
6340475.0,1652601.0,1.0
2146300.0,1489075.0,1.0
2146300.0,1819275.0,9.0
5013325.0,1495425.0,1.0
5018087.0,1819275.0,9.0
4965700.0,1803400.0,24.0
3656012.0,5216525.0,1.0
3656012.0,5630862.0,1.0
5159375.0,5708650.0,1.0
5159375.0,5294312.0,1.0
3656012.0,4802187.0,1.0
5178425.0,4470400.0,1.0
3656012.0,1916113.0,1.0
3656012.0,2744788.0,1.0
3656012.0,3154363.0,1.0
3656012.0,3983037.0,1.0
5245100.0,2822575.0,1.0
3656012.0,3568700.0,1.0
5216525.0,3646487.0,1.0
5549900.0,2408238.0,1.0
5168900.0,4879975.0,1.0
3656012.0,2330450.0,1.0
5187950.0,4060825.0,1.0
3656012.0,4392612.0,1.0
5235575.0,3232150.0,1.0
5607050.0,1993900.0,1.0
174943.0,27536.0,1.0
8640764.0,145920.0,13.0
174945.0,6613703.0,1.0
269.0,1.0,1.0
162245.0,1060175.0,1.0
166183.0,5400400.0,25.0
220427.0,1350688.0,17.0
174945.0,6612088.0,1.0
1710341.0,1660250.0,5.0
1612900.0,1636437.0,24.0
2968625.0,2615925.0,1.0
377825.0,1930125.0,1.0
2730500.0,4663800.0,1.0
377825.0,3296963.0,1.0
2968625.0,3978000.0,1.0
2921000.0,3296963.0,1.0
377825.0,4663800.0,1.0
377825.0,2615925.0,1.0
377825.0,3978000.0,1.0
3425825.0,1930125.0,1.0
6604000.0,1636437.0,24.0
8293100.0,4592363.0,1.0
4706937.0,4044675.0,1.0
7902575.0,4044675.0,1.0
4706937.0,4405038.0,1.0
4706937.0,3309663.0,1.0
4706937.0,2954062.0,1.0
4706937.0,2406375.0,1.0
7292975.0,2406375.0,1.0
7569200.0,2954062.0,1.0
4706937.0,1858687.0,1.0
7226300.0,1858687.0,1.0
7769225.0,3496988.0,1.0
174945.0,6235255.0,17.0
174945.0,237215.0,17.0
174943.0,27536.0,1.0
162245.0,1046325.0,17.0
269.0,1.0,1.0
263525.0,764975.0,1.0
263525.0,780363.0,17.0
360363.0,1225550.0,17.0
360363.0,5501302.0,1.0
6800850.0,1330939.0,1.0
6800850.0,1583237.0,9.0
6800850.0,1629390.0,1.0
6800850.0,1872320.0,9.0
7842250.0,1629390.0,1.0
7842250.0,1872320.0,9.0
5526473.0,402339.0,17.0
174945.0,237215.0,1.0
1270000.0,2755900.0,24.0
5948362.0,4918075.0,5.0
5948362.0,4918075.0,5.0
6005512.0,4918075.0,5.0
1728788.0,2592388.0,9.0
5610225.0,2011363.0,9.0
1506537.0,4368800.0,1.0
2393950.0,5178425.0,1.0
1497012.0,5178425.0,1.0
3059113.0,4202112.0,1.0
3114675.0,3463925.0,1.0
3059113.0,3219450.0,1.0
2282825.0,3319462.0,1.0
2282825.0,4249737.0,1.0
